QtRatos,BL,BP,BPI,A*,BSM
4,33,5,11,7,7
5,264,6,13,8,22
6,2127,7,15,9,9
7,20261,8,17,10,9
8,,8,19,11,22
9,,10,21,12,31
10,,11,23,13,13
20,,21,43,21,21
100,,101,203,101,101
200,,201,403,201,201
300,,,,,301
500,,,,,501
1000,,,,,1502
