QtRatos,BP,BSM,A*,BL,BPI
4,8,0,8,47,8
5,22,0,25,7169,22
6,42,0,36, ,42
8,63,0,8, ,31
10,112,0,115, ,112
20,379,0,411, ,379
100,10789,0,10899, ,10789
300,97761,0,96832, ,97761
500, ,0, , , 
1000, ,0, , , 
