QtRatos,BL,BP,BPI,A*,BSM
4,26,8,3,6,6
5,283,5,3,11,11
6,4255,3,9,22,3
7,57914,2,25,12,7
8,,3,24,20,15
9,,56,61,31,8
10,,62,66,31,8
20,,290,259,231,15
100,,26371,55885,36616,198
200,,356977,460505,416795,1471
300,,,,,4702
500,,,,,18581
1000,,,,,234162
