QtRatos,BL,BP,BPI,A*,BSM
4,4,4,5,4,0
5,5,5,6,5,0
6,6,6,7,6,0
7,7,7,8,7,0
8,,8,9,8,0
9,,9,10,9,0
10,,10,11,10,0
20,,20,21,20,0
100,,100,101,100,0
200,,200,201,200,0
300,,,,,0
500,,,,,0
1000,,,,,0
