QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 5, 10, 5, 
5, 6, , 16, 45, 6, 
6, 4, , 4, 4, 4, 
8, 9, , 17, 822, 9, 
10, 11, , 7289, 23414, 11, 
20, 21, , 628, 100000, 21, 
100, 101, , , , 101, 
300, 301, , , , , 
500, 501, , , , , 
1000, , , , , , 
