QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 12, 12, 5, 
5, 6, , 61, 61, 6, 
6, 7, , 344, 344, 7, 
8, 9, , 1190, 1190, 9, 
10, 11, , 75748, 75748, 11, 
20, 20, , , , 20, 
100, 100, , , , 100, 
300, 300, , , , , 
500, 501, , , , , 
1000, , , , , , 
