QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 1, 0, 0, 
6, 0, , 0, 0, 0, 
8, 0, , 167, 163, 1, 
10, 0, , 11223, 11864, 0, 
20, 1, , , , 1, 
100, 170, , , , 169, 
300, 9772, , , , , 
500, 58285, , , , , 
1000, , , , , , 
