QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 44, 9, 12, 5, 
5, 6, 268, 61, 61, 6, 
6, 7, 68, 166, 344, 7, 
8, 9, 75843, 632, 1190, 9, 
10, 11, , 37950, 75748, 11, 
20, 20, , , , 20, 
100, 100, , , , 100, 
300, 300, , , , , 
500, 501, , , , , 
1000, , , , , , 
