ENSAIOS,QtRatos,BP,BSM,A*,BL,BPI,
NVISIT,4,5,5,5,33,5, 
TEMPO,4,2,1,3,11,1, 
NABERT,4,8,0,8,47,8, 
CUSTO,4,13,9,9,13,13, 
NVISIT,5,6,6,6,1510,6, 
TEMPO,5,2,1,4,384,1, 
NABERT,5,22,0,25,7169,22, 
CUSTO,5,13,0,0,17,13, 
NVISIT,6,7,7,6, ,7, 
TEMPO,6,0,0,0, ,0, 
NABERT,6,42,0,36, ,42, 
CUSTO,6,28,1,3, ,28, 
NVISIT,8,9,9,2, ,5, 
TEMPO,8,1,0,0, ,0, 
NABERT,8,63,0,8, ,31, 
CUSTO,8,54,6,43, ,54, 
NVISIT,10,11,11,10, ,11, 
TEMPO,10,1,0,1, ,1, 
NABERT,10,112,0,115, ,112, 
CUSTO,10,98,3,10, ,98, 
NVISIT,20,21,21,22, ,21, 
TEMPO,20,4,2,8, ,3, 
NABERT,20,379,0,411, ,379, 
CUSTO,20,326,12,12, ,326, 
NVISIT,100,101,188,103, ,101, 
TEMPO,100,370,365,298, ,303, 
NABERT,100,10789,0,10899, ,10789, 
CUSTO,100,7508,51,51, ,7508, 
NVISIT,300,301,301,301, ,301, 
TEMPO,300,8260,4770,10414, ,6981, 
NABERT,300,97761,0,96832, ,97761, 
CUSTO,300,68184,215,215, ,68184, 
NVISIT,500, ,501, , , , 
TEMPO,500, ,19986, , , , 
NABERT,500, ,0, , , , 
CUSTO,500, ,415, , , , 
NVISIT,1000, ,1001, , , , 
TEMPO,1000, ,174727, , , , 
NABERT,1000, ,0, , , , 
CUSTO,1000, ,960, , , , 
