QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 22, 47, 8, 
5, 0, 0, 0, 0, 0, 
6, 38, 0, 21011, 100000, 38, 
8, 58, 0, , , 58, 
10, 74, 0, , , 74, 
20, 361, 0, , , 361, 
100, 9382, , , , 9382, 
300, 86444, , , , , 
500, , , , , , 
1000, , , , , , 
