QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 2, 4, 4, 2, 
5, 23, 17, 15, 15, 23, 
6, 18, 26, 16, 26, 18, 
8, 25, 31, 25, 25, 25, 
10, 50, 70, 60, 50, 50, 
20, 266, , 226, , 266, 
100, 5268, , , , 5268, 
300, 52580, , , , , 
500, , , , , , 
1000, , , , , , 
