QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 8, 7, 8, 5, 
5, 6, 12, 10, 17, 6, 
6, 7, 143, 22, 40, 7, 
8, 9, 7316, 73, 119, 9, 
10, 11, 55839, 444, 973, 11, 
20, 20, , 100000, , 20, 
100, 100, , , , 100, 
300, 300, , , , , 
500, , , , , , 
1000, , , , , , 
