QtRatos,BP,BSM,A*,BL,BPI,
4, 11, 0, 8, 8, 11, 
5, 11, , 9, 9, 11, 
6, 16, , 16, 16, 16, 
8, 48, , 24, 24, 48, 
10, 74, , 54, 36, 74, 
20, 250, , 68, 62, 250, 
100, 6138, , , , 6138, 
300, 49130, , , , , 
500, 100000, , , , , 
1000, , , , , , 
