QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 1, , 0, 0, 0, 
6, 0, , 0, 0, 0, 
8, 1, , 0, 26, 0, 
10, 0, , 0, 524, 0, 
20, 1, , 2, 31942, 9, 
100, 615, , , , 178, 
300, 9684, , , , , 
500, 61389, , , , , 
1000, , , , , , 
