QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 6, 5, 14, 5, 
5, 6, 11, 6, 61, 6, 
6, 7, 34, 7, 344, 7, 
8, 9, 645, 9, 1190, 9, 
10, 11, 1454, 10, 15715, 11, 
20, 21, 435937, 22, , 21, 
100, 101, , 101, , 101, 
300, 301, , 577, , 301, 
500, 501, , 501, , 501, 
1000, , , , , , 
