QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 0, 0, 0, 
6, 0, , 0, 0, 0, 
8, 0, , 1, 2, 0, 
10, 0, , 1, 60, 0, 
20, 1, , 1, , 1, 
100, 158, , , , 138, 
300, 7180, , , , , 
500, 45195, , , , , 
1000, , , , , , 
