QtRatos,BP,BSM,A*,BL,BPI,
4, 13, 10, 6, 12, 2, 
5, 0, 1, 0, 0, 0, 
6, 6, 774, 16, 79, 3, 
8, 11, 12007, 127, 168, 9, 
QtRatos,BP,BSM,A*,BL,BPI,
4, 12, 27, 5, 11, 2, 
5, 0, 0, 0, 0, 0, 
6, 37, 575, 14, 70, 5, 
8, 10, 6872, 166, 133, 68, 
QtRatos,BP,BSM,A*,BL,BPI,
4, 17, 24, 6, 13, 2, 
5, 3, 710, 11, 67, 3, 
6, 6, 345, 98, 46, 5, 
8, 11, 9131, 1379, 1434, 83, 
