QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 26, 11, 11, 5, 
5, 1, 1, 1, 1, 1, 
6, 7, 4, 590, 932, 7, 
8, 9, 5, 20251, 40075, 9, 
10, 8, 35, , , 8, 
20, 20, 18803, , , 20, 
100, 101, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
