QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 3, 5, 2, 
5, 8, 0, 11, 12, 8, 
6, 0, 0, 0, 0, 0, 
8, 19, 0, 362, 811, 19, 
10, 39, 0, 1764, 4975, 39, 
20, 45, , , , 45, 
100, 2626, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
