QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 13, 14, 8, 
5, 0, 0, 0, 0, 0, 
6, 38, 0, 3437, 5463, 38, 
8, 58, 0, 100000, 100000, 58, 
10, 74, 0, , , 74, 
20, 361, 0, , , 361, 
100, 9382, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
