QtRatos,BP,BSM,A*,BL,BPI,
4, 3, 9, 4, 7, 1, 
5, 0, 0, 0, 0, 0, 
6, 3, 4, 195, 696, 0, 
8, 1, 5, , , 0, 
10, 0, 1, , , 0, 
20, 2, 4966, , , 2, 
100, 535, , , , 517, 
300, 29122, , , , , 
500, , , , , , 
1000, , , , , , 
