QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 214, 10, 15, 5, 
5, 6, 238, 70, 70, 6, 
6, 4, 13438, 4, 4, 4, 
8, 9, 1352, 4842, 14520, 9, 
10, 11, 100000, 100000, 100000, 11, 
20, 21, , , , 21, 
100, 101, , , , 101, 
300, 301, , , , , 
500, 501, , , , , 
1000, , , , , , 
