QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 3, 3, 2, 
5, 6, 0, 9, 14, 6, 
6, 9, 0, 29, 54, 9, 
8, 7, 0, 91, 137, 7, 
10, 17, 0, 662, 1516, 17, 
20, 46, , 100000, , 46, 
100, 1547, , , , 1547, 
300, 14263, , , , , 
500, , , , , , 
1000, , , , , , 
