QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 15, 5, 26, 5, 
5, 1, 1, 1, 1, 1, 
6, 7, , 7, 8, 7, 
8, 9, , 9, 74, 9, 
10, 8, , 60, 60, 8, 
20, 20, , 72, , 20, 
100, 101, , , , 101, 
300, 301, , , , , 
500, , , , , , 
1000, , , , , , 
