QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 14, 36, 8, 
5, 0, 0, 0, 0, 0, 
6, 20, 0, 59, 83, 20, 
8, 29, 0, 197, 197, 29, 
QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 14, 36, 8, 
5, 0, 0, 0, 0, 0, 
6, 20, 0, 59, 83, 20, 
8, 29, 0, 197, 197, 29, 
QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 14, 36, 8, 
5, 10, 0, 32, 40, 10, 
6, 24, 0, 180, 180, 24, 
8, 39, 0, 1670, 1670, 39, 
