QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 0, 1, 0, 
6, 0, , 0, 0, 0, 
8, 0, , 0, 9, 0, 
10, 1, , 122, 393, 0, 
20, 1, , 31, 22757, 1, 
100, 353, , , , 163, 
300, 9430, , , , , 
500, 57756, , , , , 
1000, , , , , , 
