QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 1, 0, 0, 0, 
5, 0, 8, 0, 1, 0, 
6, 0, 2, 3, 2, 0, 
8, 0, 2899, 10, 12, 0, 
10, 1, , 901, 1082, 0, 
20, 1, , , , 1, 
100, 125, , , , 135, 
300, 6881, , , , , 
500, 42239, , , , , 
1000, , , , , , 
