QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 
6, 0, 31, 0, 0, 0, 
8, 0, 5, 5, 11, 0, 
10, 1, 193, 38, 114, 1, 
20, 3, , , , 3, 
100, 2183, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
