QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 15, 15, 5, 
5, 6, , 70, 70, 6, 
6, 4, , 4, 4, 4, 
8, 9, , 14520, 14520, 9, 
10, 11, , 100000, 100000, 11, 
20, 21, , , , 21, 
100, 101, , , , 101, 
300, 301, , , , , 
500, 501, , , , , 
1000, , , , , , 
