QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 4, 7, 2, 
5, 8, , 23, 46, 8, 
6, 0, , 0, 0, 0, 
8, 19, , 21, 1666, 19, 
10, 39, , 10582, 35501, 39, 
20, 45, , 2009, 100000, 45, 
100, 2626, , , , 2626, 
300, 22345, , , , , 
500, 60510, , , , , 
1000, , , , , , 
