QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 0, 0, 0, 
6, 0, , 453, 410, 0, 
8, 0, , , , 1, 
10, 0, , , , 0, 
20, 62, , , , 2, 
100, 768, , , , 541, 
300, 30475, , , , , 
500, , , , , , 
1000, , , , , , 
