QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 1, 0, 
6, 0, 1, 0, 1, 0, 
8, 1, 49, 2, 3, 0, 
10, 0, 499, 14, 47, 1, 
20, 3, , 62139, , 17, 
100, 1302, , , , 1528, 
300, 105919, , , , , 
500, , , , , , 
1000, , , , , , 
