QtRatos,BP,BSM,A*,BL,BPI,
4, 13, 16, 9, 9, 13, 
5, 0, 0, 0, 0, 0, 
6, 28, , 1, 1, 28, 
8, 54, , 6, 6, 54, 
10, 61, , 3, 3, 61, 
20, 296, , 12, , 296, 
100, 7124, , , , 7124, 
300, 65908, , , , , 
500, , , , , , 
1000, , , , , , 
