QtRatos,BP,BSM,A*,BL,BPI,
4, 11, 11, 11, 11, 11, 
5, 11, 15, 18, 18, 11, 
6, 16, 22, 16, 16, 16, 
8, 48, 26, 48, 24, 48, 
10, 74, 78, 98, 70, 74, 
20, 250, , , , 250, 
100, 6138, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
