QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 4, 4, 2, 
5, 6, 0, 29, 29, 6, 
6, 9, 0, 179, 179, 9, 
8, 7, 0, 559, 559, 7, 
10, 17, , 37799, 37799, 17, 
20, 46, , , , 46, 
100, 1547, , , , 1547, 
300, 14263, , , , , 
500, 42361, , , , , 
1000, , , , , , 
