QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 2, 0, 0, 0, 
5, 0, 5, 1, 0, 0, 
6, 0, 201, 0, 0, 0, 
8, 1, 38, 142, 187, 0, 
10, 0, 33350, 4698, 13637, 1, 
20, 1, , , , 1, 
100, 181, , , , 163, 
300, 9581, , , , , 
500, 57333, , , , , 
1000, , , , , , 
