QtRatos,BP,BSM,A*,BL,BPI,
4, 11, 15, 11, 12, 11, 
5, 11, 15, 12, 15, 11, 
6, 16, 26, 16, 16, 16, 
8, 48, 42, 34, 49, 48, 
10, 74, 82, 50, 100, 74, 
20, 250, , , , 250, 
100, 6138, , , , 6138, 
300, 49130, , , , , 
500, 100000, , , , , 
1000, , , , , , 
