QtRatos,BP,BSM,A*,BL,BPI,
4, 13, 16, 12, 12, 13, 
5, 0, 0, 0, 0, 0, 
6, 28, 22, 26, 24, 28, 
8, 54, 33, 51, 37, 54, 
10, 61, 81, , , 61, 
20, 296, 213, , , 296, 
100, 7124, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
