QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 5, 5, 5, 
5, 6, , 6, 20, 6, 
6, 7, , 8, 30, 7, 
8, 9, , 9, 173, 9, 
10, 11, , 11, 4096, 11, 
20, 20, , 20, , 20, 
100, 100, , , , 100, 
300, 300, , , , , 
500, 501, , , , , 
1000, , , , , , 
