QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 44, 15, 33, 5, 
5, 1, 1, 1, 1, 1, 
6, 7, 23, 3343, 24342, 7, 
8, 9, 216, , , 9, 
10, 8, 46, , , 8, 
20, 20, 100000, , , 20, 
100, 101, , , , 101, 
300, 301, , , , , 
500, , , , , , 
1000, , , , , , 
