QtRatos,BP,BSM,A*,BL,BPI,
4, 8, 0, 47, 47, 8, 
5, 0, , 0, 0, 0, 
6, 38, , 100000, 100000, 38, 
8, 58, , , , 58, 
10, 74, , , , 74, 
20, 361, , , , 361, 
100, 9382, , , , 9382, 
300, 86444, , , , , 
500, , , , , , 
1000, , , , , , 
