QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 3, 4, 7, 0, 
5, 0, 0, 0, 0, 0, 
6, 3, , 2, 3, 2, 
8, 3, , 3, 19, 1, 
10, 1, , 19, 6, 1, 
20, 6, , 20, , 2, 
100, 501, , , , 447, 
300, 33145, , , , , 
500, , , , , , 
1000, , , , , , 
