QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 2, 2, 2, 
5, 6, , 5, 18, 6, 
6, 9, , 9, 40, 9, 
8, 7, , 101, 189, 7, 
10, 17, , 783, 5818, 17, 
20, 46, , , , 46, 
100, 1547, , , , 1547, 
300, 14263, , , , , 
500, 42361, , , , , 
1000, , , , , , 
