QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 85, 6, 8, 5, 
5, 6, 134, 11, 13, 6, 
6, 4, 7894, 4, 4, 4, 
8, 9, 626, 178, 375, 9, 
10, 11, 19700, 872, 2454, 11, 
20, 21, , , , 21, 
100, 101, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
