QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, 0, 0, 0, 0, 
6, 0, 0, 51, 38, 0, 
8, 1, 0, 1440, 3749, 0, 
10, 1, 1, , , 1, 
20, 15, 933, , , 15, 
100, 8547, , , , , 
300, , , , , , 
500, , , , , , 
1000, , , , , , 
