QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 0, 1, 0, 
6, 0, , 0, 0, 0, 
8, 0, , 1, 2, 0, 
10, 1, , 8, 57, 0, 
20, 1, , , , 1, 
100, 146, , , , 131, 
300, 7405, , , , , 
500, 47336, , , , , 
1000, , , , , , 
