QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 33, 33, 5, 
5, 1, , 1, 1, 1, 
6, 7, , 24342, 24342, 7, 
8, 9, , , , 9, 
10, 8, , , , 8, 
20, 20, , , , 20, 
100, 101, , , , 101, 
300, 301, , , , , 
500, , , , , , 
1000, , , , , , 
