QtRatos,BP,BSM,A*,BL,BPI,
4, 5, 0, 5, 10, 5, 
5, 6, , 6, 45, 6, 
6, 4, , 4, 4, 4, 
8, 9, , 9, 822, 9, 
10, 11, , 11, 23414, 11, 
20, 21, , 53, 100000, 21, 
100, 101, , , , 101, 
300, 301, , , , , 
500, 501, , , , , 
1000, , , , , , 
