QtRatos,BP,BSM,A*,BL,BPI,
4, 0, 0, 0, 0, 0, 
5, 0, , 1, 0, 0, 
6, 0, , 3, 2, 0, 
8, 0, , 12, 11, 0, 
10, 0, , 1040, 1066, 0, 
20, 1, , , , 1, 
100, 126, , , , 127, 
300, 6749, , , , , 
500, 43656, , , , , 
1000, , , , , , 
