QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 2, 2, 2, 
5, 23, , 11, 11, 23, 
6, 18, , 6, 6, 18, 
8, 25, , 29, 25, 25, 
10, 50, , 32, 26, 50, 
20, 266, , 180, , 266, 
100, 5268, , , , 5268, 
300, 52580, , , , , 
500, 100000, , , , , 
1000, , , , , , 
