QtRatos,BP,BSM,A*,BL,BPI,
4, 11, 0, 12, 12, 11, 
5, 11, , 15, 15, 11, 
6, 16, , 16, 16, 16, 
8, 48, , 49, 49, 48, 
10, 74, , 100, 100, 74, 
20, 250, , , , 250, 
100, 6138, , , , 6138, 
300, 49130, , , , , 
500, 100000, , , , , 
1000, , , , , , 
