QtRatos,BP,BSM,A*,BL,BPI,
4, 2, 0, 7, 9, 2, 
5, 8, 0, 59, 59, 8, 
6, 0, 0, 0, 0, 0, 
8, 19, 0, 9681, 22559, 19, 
10, 39, 0, 100000, 100000, 39, 
20, 45, , , , 45, 
100, 2626, , , , 2626, 
300, 22345, , , , , 
500, 60510, , , , , 
1000, , , , , , 
