QtRatos,BP,BSM,A*,BL,BPI,
4, 7, 7, 5, 18, 1, 
5, 2, 2, 4, 395, 0, 
6, 1, 0, 1, , 1, 
8, 0, 1, 0, , 1, 
10, 1, 2, 2, , 0, 
20, 4, 11, 12, , 5, 
100, 390, 211, 296, , 268, 
300, 8107, 8026, 9586, , 9089, 
500, , 48273, , , , 
1000, , , , , , 
